Primary Key,Program,Community,Services Requested,Client Status,HH Work Compliance Status,Member Work Compliance Status
t1058938H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Compliant Period,Compliant
t1083968H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1047153H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- unable to contact client,Non-Compliant Period,Non-Compliant
t1042884H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1042884H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1082740H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1037641M21403,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- client declined services,Non-Compliant Period,Progressing
t1037641M21403,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Discharged- client declined services,Non-Compliant Period,Progressing
t1032207H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1011130H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1016960H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1006153H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Compliant
t1004974M22631,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1004974M22631,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1005928M23627,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1005928M23627,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1025821H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1060047H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1025919H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1026044H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1019557H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1005745H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1004817H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1090346M23801,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Non-Compliant
t1088731H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1014854M25494,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1014854M25494,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1078975H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client inactive in program,Non-Compliant Period,Non-Compliant
t1059590H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1091564H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1025660H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Progressing
t1102494H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1102494H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135128H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1135128H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1230127H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1230127H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1213150H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1213150H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1053522M29477,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Enrolled- client active in program,Non-Compliant Period,Non-Compliant
t1004974H,VO-Voucher,Housing Choice Voucher,Workforce Development Training,Hold- pending client enrollment,Non-Compliant Period,Compliant
